Date Moment Magnitude Latitude Longitude Depth Vp Vs Mu Vr T1 T2 Length Width StressDrop RadE tau_a
201102140340 10 1.179141e+19   6.7144 -35.3800 -72.8300  23.0909   6.5937   3.7968  41.2083   3.4171   6.2828   1.4586  42.9384  30.8985   0.9015 1.848234e+14   0.6459
201106011255 16 4.686080e+18   6.4472 -37.5800 -73.6900  14.3030   6.1126   3.5563  34.7328   3.2007   2.9237   2.9237  18.7158  17.7628   2.7223 5.551955e+13   0.4115
201106160003 17 4.867553e+18   6.4582  -5.9300 151.0400  16.0455   6.0784   3.5225  33.3924   3.1702   7.2203   0.5906  45.7799  32.2471   0.3186 4.325158e+13   0.2967
201106222150 20 1.759083e+19   6.8302  39.9600 142.2100  36.4354   7.3287   4.0487  50.7443   3.6438   5.4670   0.7800  39.8413  29.3942   1.6130 3.111930e+14   0.8977
201106280648 23 6.839163e+17   5.8900  52.0600 -171.7600  32.4384   7.2530   3.9978  49.3568   3.5980   2.0651   0.4794  14.8600  14.8600   0.7295 7.651983e+12   0.5522
201107112047 36 7.913623e+18   6.5989   9.5100 122.1700   7.2485   3.9862   2.0397   9.5513   1.8357   7.7403   0.7276  28.4175  23.4655   1.6526 1.892488e+15   2.2841
201107161959 39 2.246694e+18   6.2344  54.7900 -161.2900  37.0182   7.4508   4.2099  55.2001   3.7889   2.0651   0.4472  15.6486  15.6486   2.0520 6.677504e+13   1.6406
201107182238 40 5.617154e+17   5.8330  51.2800 178.9400  30.4859   7.2887   4.0206  50.0664   3.6185   1.4586   1.3606  10.5557  10.5557   1.6716 3.428795e+12   0.3056
201107191935 41 2.278792e+18   6.2385  40.0800  71.4100  28.9091   6.1319   3.5660  34.9231   3.2094   3.8614   0.1470  24.7851  21.4207   0.6648 1.445532e+14   2.2153
201107230434 42 4.370045e+18   6.4270  38.9000 141.8200  43.3434   7.4051   4.1710  53.6990   3.7539   1.6762   1.5636  12.5847  12.5847   7.6740 6.392782e+13   0.7855
201107251715 45 9.981026e+17   5.9995  14.9500 120.0400  50.8788   7.4568   4.1836  54.1522   3.7652   0.7800   0.7800   5.8740   5.8740  17.2363 3.537948e+13   1.9195
201107301853 47 4.378648e+18   6.4276  36.9400 140.9600  48.4667   7.4857   4.2045  55.0702   3.7840   1.4586   1.4586  11.0385  11.0385  11.3940 1.156341e+14   1.4543
