Fault index 1 = needles segment
Fault index 2-5 = Kekerengu, Jordan Thrust, Upper Kowhai segments
Fault index 6-7 = Hope segments
Fault index 8-16 = Humps/Hunderlee segments
Fault index 17-18 = London Hills
Fault index 19 = Fidget
Fault index 20 = interface
longditude (centre of patch), latitude (centre of patch), strike, dip, rake, slip (m), length (km), top of patch (km), bottom of patch (km) index	
174.4715 -41.6568 218.290163 70.000000 180.000000 0.626269 2.006960 0.000000 3.125000	   1.0000000e+00
174.4611 -41.6502 218.290163 70.000000 180.000000 0.247729 2.006960 3.125000 6.250000	   1.0000000e+00
174.4506 -41.6436 218.290163 70.000000 180.000000 0.000000 2.006960 6.250000 9.375000	   1.0000000e+00
174.4402 -41.6371 218.290163 70.000000 180.000000 0.000000 2.006960 9.375000 12.500000	   1.0000000e+00
174.4297 -41.6305 218.290163 70.000000 180.000000 0.000000 2.006960 12.500000 15.625000	   1.0000000e+00
174.4192 -41.6239 218.290163 70.000000 180.000000 0.000000 2.006960 15.625000 18.750000	   1.0000000e+00
174.4088 -41.6173 218.290163 70.000000 180.000000 0.000000 2.006960 18.750000 21.875000	   1.0000000e+00
174.3983 -41.6107 218.290163 70.000000 180.000000 0.000000 2.006960 21.875000 25.000000	   1.0000000e+00
174.4561 -41.6706 218.290163 70.000000 180.000000 1.611638 2.006960 0.000000 3.125000	   1.0000000e+00
174.4456 -41.6641 218.290163 70.000000 180.000000 0.681056 2.006960 3.125000 6.250000	   1.0000000e+00
174.4351 -41.6575 218.290163 70.000000 180.000000 0.000000 2.006960 6.250000 9.375000	   1.0000000e+00
174.4247 -41.6509 218.290163 70.000000 180.000000 0.000000 2.006960 9.375000 12.500000	   1.0000000e+00
174.4142 -41.6443 218.290163 70.000000 180.000000 0.000000 2.006960 12.500000 15.625000	   1.0000000e+00
174.4038 -41.6377 218.290163 70.000000 180.000000 0.000000 2.006960 15.625000 18.750000	   1.0000000e+00
174.3933 -41.6312 218.290163 70.000000 180.000000 0.000000 2.006960 18.750000 21.875000	   1.0000000e+00
174.3829 -41.6246 218.290163 70.000000 180.000000 0.000000 2.006960 21.875000 25.000000	   1.0000000e+00
174.4406 -41.6845 218.290163 70.000000 180.000000 3.084288 2.006960 0.000000 3.125000	   1.0000000e+00
174.4301 -41.6779 218.290163 70.000000 180.000000 1.373001 2.006960 3.125000 6.250000	   1.0000000e+00
174.4196 -41.6713 218.290163 70.000000 180.000000 0.127157 2.006960 6.250000 9.375000	   1.0000000e+00
174.4092 -41.6647 218.290163 70.000000 180.000000 0.000000 2.006960 9.375000 12.500000	   1.0000000e+00
174.3987 -41.6582 218.290163 70.000000 180.000000 0.000000 2.006960 12.500000 15.625000	   1.0000000e+00
174.3883 -41.6516 218.290163 70.000000 180.000000 0.000000 2.006960 15.625000 18.750000	   1.0000000e+00
174.3778 -41.6450 218.290163 70.000000 180.000000 0.000000 2.006960 18.750000 21.875000	   1.0000000e+00
174.3674 -41.6384 218.290163 70.000000 180.000000 0.000000 2.006960 21.875000 25.000000	   1.0000000e+00
174.4251 -41.6983 218.290163 70.000000 180.000000 4.961714 2.006960 0.000000 3.125000	   1.0000000e+00
174.4146 -41.6917 218.290163 70.000000 180.000000 2.276648 2.006960 3.125000 6.250000	   1.0000000e+00
174.4042 -41.6852 218.290163 70.000000 180.000000 0.372829 2.006960 6.250000 9.375000	   1.0000000e+00
174.3937 -41.6786 218.290163 70.000000 180.000000 0.000000 2.006960 9.375000 12.500000	   1.0000000e+00
174.3832 -41.6720 218.290163 70.000000 180.000000 0.000000 2.006960 12.500000 15.625000	   1.0000000e+00
174.3728 -41.6654 218.290163 70.000000 180.000000 0.000000 2.006960 15.625000 18.750000	   1.0000000e+00
